,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,ZEC-USD,0.12225373121897756,13.0
1,UMA-USD,AAVE-USD,0.030107312788640095,6.0
2,UMA-USD,ETC-USD,0.10122570067045936,10.0
3,UMA-USD,YFI-USD,0.0003908316242265109,14.0
4,UMA-USD,COMP-USD,0.04876973864206827,7.0
5,UMA-USD,MATIC-USD,3.8520081325569246,8.0
6,UMA-USD,BTC-USD,4.306487172437166e-05,22.0
7,UMA-USD,CELO-USD,3.3170864909019357,7.0
8,UMA-USD,1INCH-USD,6.405530120239481,6.0
9,UMA-USD,UNI-USD,0.3613533141591097,9.0
10,UMA-USD,ETH-USD,0.0008839842909327227,17.0
11,UMA-USD,EOS-USD,3.3525626744773813,12.0
12,UMA-USD,LTC-USD,0.033399722540842995,15.0
13,SOL-USD,ZEC-USD,6.447189838784693,8.0
14,SOL-USD,LINK-USD,10.066578994252048,9.0
15,SOL-USD,RUNE-USD,26.467394222096036,23.0
16,SOL-USD,DOT-USD,20.897710909599596,6.0
17,SOL-USD,BTC-USD,0.0022734900126970743,19.0
18,SOL-USD,ADA-USD,301.95132505443195,6.0
19,SOL-USD,AVAX-USD,3.9536748028124893,11.0
20,SOL-USD,UNI-USD,19.0532921342095,8.0
21,SOL-USD,ETH-USD,0.04664407935791065,18.0
22,ZEC-USD,AAVE-USD,0.24587625929648393,18.0
23,ZEC-USD,LINK-USD,1.5609744010864337,6.0
24,ZEC-USD,YFI-USD,0.0031963875183084298,9.0
25,ZEC-USD,COMP-USD,0.3986411637359494,10.0
26,ZEC-USD,ALGO-USD,120.25868345645132,17.0
27,ZEC-USD,DOT-USD,3.240228582274095,7.0
28,ZEC-USD,CELO-USD,27.112058181498142,12.0
29,ZEC-USD,1INCH-USD,52.33211879969544,19.0
30,ZEC-USD,ADA-USD,46.81630670937977,13.0
31,ZEC-USD,ZRX-USD,43.044084890250645,11.0
32,ZEC-USD,UNI-USD,2.9546788695895096,5.0
33,ZEC-USD,XLM-USD,201.6555965183782,7.0
34,ZEC-USD,ATOM-USD,2.637385419248076,18.0
