,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,ZEC-USD,0.12204805915922144,10.0
1,UMA-USD,AAVE-USD,0.030187658916118416,5.0
2,UMA-USD,ETC-USD,0.10115494291301906,8.0
3,UMA-USD,COMP-USD,0.04876574552965255,7.0
4,UMA-USD,MATIC-USD,3.8500260675641305,7.0
5,UMA-USD,BTC-USD,4.295664454308053e-05,19.0
6,UMA-USD,CELO-USD,3.318178825940958,6.0
7,UMA-USD,1INCH-USD,6.407818536658956,6.0
8,UMA-USD,UNI-USD,0.3612903881397245,9.0
9,UMA-USD,ETH-USD,0.0008817151671090968,15.0
10,UMA-USD,XLM-USD,24.59353264665892,14.0
11,UMA-USD,EOS-USD,3.352392950143215,11.0
12,UMA-USD,LTC-USD,0.03332488120990688,12.0
13,SOL-USD,ZEC-USD,6.440692867684506,8.0
14,SOL-USD,AAVE-USD,1.5913418668372172,14.0
15,SOL-USD,LINK-USD,10.066656553011798,8.0
16,SOL-USD,RUNE-USD,26.575310063660297,16.0
17,SOL-USD,FIL-USD,23.06780309634765,15.0
18,SOL-USD,DOT-USD,20.90232755961258,6.0
19,SOL-USD,BTC-USD,0.0022691305611160237,18.0
20,SOL-USD,ADA-USD,302.0295073911013,6.0
21,SOL-USD,AVAX-USD,3.9611488222326936,12.0
22,ZEC-USD,AAVE-USD,0.24701887627072194,12.0
23,ZEC-USD,LINK-USD,1.5625126853038611,6.0
24,ZEC-USD,YFI-USD,0.0031976802135016543,9.0
25,ZEC-USD,RUNE-USD,4.123787270162088,20.0
26,ZEC-USD,COMP-USD,0.39932520346427225,9.0
27,ZEC-USD,ALGO-USD,120.24607578290491,17.0
28,ZEC-USD,DOT-USD,3.2440985716725437,8.0
29,ZEC-USD,CELO-USD,27.170672620546988,9.0
30,ZEC-USD,1INCH-USD,52.44717175464186,17.0
31,ZEC-USD,ADA-USD,46.873440552759696,12.0
32,ZEC-USD,ZRX-USD,43.121819405664205,10.0
33,ZEC-USD,UNI-USD,2.9595295569212694,4.0
34,ZEC-USD,XLM-USD,201.54162575958014,7.0
35,ZEC-USD,LTC-USD,0.27302363726792306,8.0
36,AAVE-USD,ETC-USD,3.3491551369822408,11.0
37,AAVE-USD,XTZ-USD,88.55261062080291,13.0
38,AAVE-USD,LINK-USD,6.314832002930592,12.0
39,AAVE-USD,XMR-USD,0.7626904610294313,23.0
40,AAVE-USD,YFI-USD,0.012917862490779666,16.0
41,AAVE-USD,ALGO-USD,485.92394415996466,19.0
42,AAVE-USD,CRV-USD,200.28055812334705,8.0
43,AAVE-USD,DOT-USD,13.109040177824408,14.0
44,AAVE-USD,BTC-USD,0.001421204864186501,24.0
45,AAVE-USD,CELO-USD,109.87339893150678,7.0
46,AAVE-USD,1INCH-USD,212.1888622430243,7.0
47,AAVE-USD,ADA-USD,189.44734220237726,13.0
48,AAVE-USD,ENJ-USD,269.1168309746489,6.0
49,AAVE-USD,SUSHI-USD,88.19000751357852,11.0
50,AAVE-USD,AVAX-USD,2.4859656578721574,11.0
51,AAVE-USD,SNX-USD,30.288065574212037,10.0
52,AAVE-USD,ETH-USD,0.029174458389083176,22.0
53,AAVE-USD,XLM-USD,813.775481605289,18.0
54,AAVE-USD,EOS-USD,111.02185144405853,10.0
55,AAVE-USD,LTC-USD,1.1027175069077046,16.0
56,ETC-USD,CRV-USD,59.74830865431052,14.0
57,ETC-USD,ENJ-USD,80.27602209946612,12.0
58,ETC-USD,SUSHI-USD,26.294335392469524,16.0
59,ETC-USD,ATOM-USD,3.189927399859237,7.0
60,XTZ-USD,BCH-USD,0.0020648638906190448,6.0
61,XTZ-USD,XMR-USD,0.008619900141039883,24.0
62,XTZ-USD,RUNE-USD,0.18826756484991725,17.0
